vocabulary,meaning,IPA,book,author
singular,单数,ˈsɪŋgjələr,A Fashionable Indulgence: A Society of Gentlemen Novel (Society of Gentlemen Series Book 1),KJ Charles
grit,砂砾,grɪt,A Fashionable Indulgence: A Society of Gentlemen Novel (Society of Gentlemen Series Book 1),KJ Charles
Jacobin,雅各宾派,ˈʤækəbɪn,A Fashionable Indulgence: A Society of Gentlemen Novel (Society of Gentlemen Series Book 1),KJ Charles
diorama,西洋镜,diorama*,A Little Life,Hanya Yanagihara
with,和,wɪθ,A Gentleman&#39;s Position (Society of Gentlemen),"Charles, K.J."
hussar,骠骑兵,ˈhəsər,A Gentleman&#39;s Position (Society of Gentlemen),"Charles, K.J."
bawdy,下流的,ˈbɔdi,A Gentleman&#39;s Position (Society of Gentlemen),"Charles, K.J."
clique,集团,klik,A Gentleman&#39;s Position (Society of Gentlemen),"Charles, K.J."
fop,fop,ˈɛˈfoʊˈpi,A Fashionable Indulgence: A Society of Gentlemen Novel (Society of Gentlemen Series Book 1),KJ Charles
majordomo,管家,ˌmeɪʤərˈdoʊmoʊ,A Gentleman&#39;s Position (Society of Gentlemen),"Charles, K.J."
cadet,学员,kəˈdɛt,A Fashionable Indulgence: A Society of Gentlemen Novel (Society of Gentlemen Series Book 1),KJ Charles
ignominy,耻辱,ˈɪgnoʊˌmɪni,A Fashionable Indulgence: A Society of Gentlemen Novel (Society of Gentlemen Series Book 1),KJ Charles
brocaded,织锦的,brocaded*,A Little Life,Hanya Yanagihara
pillory,手铐,ˈpɪləri,A Fashionable Indulgence: A Society of Gentlemen Novel (Society of Gentlemen Series Book 1),KJ Charles
risqué,有风险的,risqué*é,A Fashionable Indulgence: A Society of Gentlemen Novel (Society of Gentlemen Series Book 1),KJ Charles
gainsay,否定,ˈgeɪnˌseɪ,A Fashionable Indulgence: A Society of Gentlemen Novel (Society of Gentlemen Series Book 1),KJ Charles
grizzled,斑白,ˈgrɪzəld,A Fashionable Indulgence: A Society of Gentlemen Novel (Society of Gentlemen Series Book 1),KJ Charles
onus,责任,ˈoʊnəs,A Gentleman&#39;s Position (Society of Gentlemen),"Charles, K.J."
mésalliance,错配,mésalliance*,A Fashionable Indulgence: A Society of Gentlemen Novel (Society of Gentlemen Series Book 1),KJ Charles
lackadaisical,无精打采的,ˌlækəˈdeɪzɪkəl,A Gentleman&#39;s Position (Society of Gentlemen),"Charles, K.J."
fobs,表链,fobs*,A Gentleman&#39;s Position (Society of Gentlemen),"Charles, K.J."
gelding,阉马,gelding*,A Gentleman&#39;s Position (Society of Gentlemen),"Charles, K.J."
namesake,同名,ˈneɪmˌseɪk,A Fashionable Indulgence: A Society of Gentlemen Novel (Society of Gentlemen Series Book 1),KJ Charles
octavo,八开本,octavo*,A Fashionable Indulgence: A Society of Gentlemen Novel (Society of Gentlemen Series Book 1),KJ Charles
trinkets,小饰品,ˈtrɪŋkəts,A Gentleman&#39;s Position (Society of Gentlemen),"Charles, K.J."
a skinful of,一皮,ə skinful* əv,A Fashionable Indulgence: A Society of Gentlemen Novel (Society of Gentlemen Series Book 1),KJ Charles
quail,鹌鹑,kweɪl,A Fashionable Indulgence: A Society of Gentlemen Novel (Society of Gentlemen Series Book 1),KJ Charles
muzzled,捂着嘴,ˈməzəld,A Fashionable Indulgence: A Society of Gentlemen Novel (Society of Gentlemen Series Book 1),KJ Charles
precepts,戒律,ˈpriˌsɛpts,A Fashionable Indulgence: A Society of Gentlemen Novel (Society of Gentlemen Series Book 1),KJ Charles
ulcerating,溃烂的,ulcerating*,A Gentleman&#39;s Position (Society of Gentlemen),"Charles, K.J."
polemics,争论,poʊˈlɛmɪks,A Fashionable Indulgence: A Society of Gentlemen Novel (Society of Gentlemen Series Book 1),KJ Charles
pantaloons,裤子,ˈpæntəˌlunz,A Fashionable Indulgence: A Society of Gentlemen Novel (Society of Gentlemen Series Book 1),KJ Charles
queans,昆斯,queans*,A Fashionable Indulgence: A Society of Gentlemen Novel (Society of Gentlemen Series Book 1),KJ Charles
guffaw,哄笑,gəˈfɔ,A Fashionable Indulgence: A Society of Gentlemen Novel (Society of Gentlemen Series Book 1),KJ Charles
tally,相符,ˈtæli,A Gentleman&#39;s Position (Society of Gentlemen),"Charles, K.J."
chimera,嵌合体,ʧɪˈmɛrə,A Gentleman&#39;s Position (Society of Gentlemen),"Charles, K.J."
winkle him out,把他赶出去,ˈwɪŋkəl ɪm aʊt,A Fashionable Indulgence: A Society of Gentlemen Novel (Society of Gentlemen Series Book 1),KJ Charles
accoutrements,装备,əˈkutərmənts,A Fashionable Indulgence: A Society of Gentlemen Novel (Society of Gentlemen Series Book 1),KJ Charles
tic,抽动,tɪk,A Little Life,Hanya Yanagihara
soused,邻居,soused*,A Fashionable Indulgence: A Society of Gentlemen Novel (Society of Gentlemen Series Book 1),KJ Charles
mastiff,獒,ˈmæstəf,A Fashionable Indulgence: A Society of Gentlemen Novel (Society of Gentlemen Series Book 1),KJ Charles
highfaluting,高调,highfaluting*,A Fashionable Indulgence: A Society of Gentlemen Novel (Society of Gentlemen Series Book 1),KJ Charles
eunuch,宦官,ˈjunək,A Fashionable Indulgence: A Society of Gentlemen Novel (Society of Gentlemen Series Book 1),KJ Charles
gallows,绞架,ˈgæloʊz,A Fashionable Indulgence: A Society of Gentlemen Novel (Society of Gentlemen Series Book 1),KJ Charles
Yule,玉乐,jul,A Fashionable Indulgence: A Society of Gentlemen Novel (Society of Gentlemen Series Book 1),KJ Charles
sabres,军刀,ˈseɪbərz,A Fashionable Indulgence: A Society of Gentlemen Novel (Society of Gentlemen Series Book 1),KJ Charles
flailing,挥舞着,ˈfleɪlɪŋ,A Fashionable Indulgence: A Society of Gentlemen Novel (Society of Gentlemen Series Book 1),KJ Charles
purview,范围,ˈpərvˌju,A Fashionable Indulgence: A Society of Gentlemen Novel (Society of Gentlemen Series Book 1),KJ Charles
helpmeet,帮手,helpmeet*,A Gentleman&#39;s Position (Society of Gentlemen),"Charles, K.J."
melee,混战,ˈmeɪˌleɪ,A Fashionable Indulgence: A Society of Gentlemen Novel (Society of Gentlemen Series Book 1),KJ Charles
rusticating,下乡,rusticating*,A Confidential Problem,KJ Charles
rector,校长,ˈrɛktər,A Gentleman&#39;s Position (Society of Gentlemen),"Charles, K.J."
crestfallen,垂头丧气,ˈkrɛstˌfɔlən,A Fashionable Indulgence: A Society of Gentlemen Novel (Society of Gentlemen Series Book 1),KJ Charles
incipient,初期,ˌɪnˈsɪpiənt,A Gentleman&#39;s Position (Society of Gentlemen),"Charles, K.J."
inculcate,灌输,ˈɪŋkəlˌkeɪt,A Fashionable Indulgence: A Society of Gentlemen Novel (Society of Gentlemen Series Book 1),KJ Charles
swathed,裹着,swɑðd,A Fashionable Indulgence: A Society of Gentlemen Novel (Society of Gentlemen Series Book 1),KJ Charles
paroxysms,发作,paroxysms*,A Fashionable Indulgence: A Society of Gentlemen Novel (Society of Gentlemen Series Book 1),KJ Charles
mountebank,骗子,mountebank*,A Fashionable Indulgence: A Society of Gentlemen Novel (Society of Gentlemen Series Book 1),KJ Charles
sapphires,蓝宝石,ˈsæfaɪərz,A Fashionable Indulgence: A Society of Gentlemen Novel (Society of Gentlemen Series Book 1),KJ Charles
penmanship,书法,penmanship*,A Gentleman&#39;s Position (Society of Gentlemen),"Charles, K.J."
imposition,征收,ˌɪmpəˈzɪʃən,A Fashionable Indulgence: A Society of Gentlemen Novel (Society of Gentlemen Series Book 1),KJ Charles
paraphernalia,随身用品,ˌpɛrəfəˈneɪljə,A Confidential Problem,KJ Charles
lumpen,破布,lumpen*,A Fashionable Indulgence: A Society of Gentlemen Novel (Society of Gentlemen Series Book 1),KJ Charles
coroner,验尸官,ˈkɔrənər,A Fashionable Indulgence: A Society of Gentlemen Novel (Society of Gentlemen Series Book 1),KJ Charles
eel,鳗鱼,il,A Fashionable Indulgence: A Society of Gentlemen Novel (Society of Gentlemen Series Book 1),KJ Charles
vixen,泼妇,ˈvɪksɪn,A Gentleman&#39;s Position (Society of Gentlemen),"Charles, K.J."
is his spit,是他的唾沫,ɪz hɪz spɪt,A Fashionable Indulgence: A Society of Gentlemen Novel (Society of Gentlemen Series Book 1),KJ Charles
salver,药膏,salver*,A Fashionable Indulgence: A Society of Gentlemen Novel (Society of Gentlemen Series Book 1),KJ Charles
perdition,灭亡,perdition*,A Fashionable Indulgence: A Society of Gentlemen Novel (Society of Gentlemen Series Book 1),KJ Charles
goblin,地精,ˈgɑblɪn,A Fashionable Indulgence: A Society of Gentlemen Novel (Society of Gentlemen Series Book 1),KJ Charles
quadrille,四边形,quadrille*,A Fashionable Indulgence: A Society of Gentlemen Novel (Society of Gentlemen Series Book 1),KJ Charles
blenched,漂白,blenched*,A Gentleman&#39;s Position (Society of Gentlemen),"Charles, K.J."
cur,当前,kər,A Fashionable Indulgence: A Society of Gentlemen Novel (Society of Gentlemen Series Book 1),KJ Charles
roil,卷,rɔɪl,A Fashionable Indulgence: A Society of Gentlemen Novel (Society of Gentlemen Series Book 1),KJ Charles
burglary,入室盗窃,ˈbərgləri,A Gentleman&#39;s Position (Society of Gentlemen),"Charles, K.J."
curricle,课程,curricle*,A Gentleman&#39;s Position (Society of Gentlemen),"Charles, K.J."
amanuensis,文科,amanuensis*,A Little Life,Hanya Yanagihara
jowls,下巴,ʤaʊlz,A Gentleman&#39;s Position (Society of Gentlemen),"Charles, K.J."
rectory,教区长,ˈrɛktəri,A Gentleman&#39;s Position (Society of Gentlemen),"Charles, K.J."
inoculate,接种,ˌɪˈnɑkjəˌleɪt,A Little Life,Hanya Yanagihara
flailed,失败的,flailed*,A Gentleman&#39;s Position (Society of Gentlemen),"Charles, K.J."
rovings,粗纱,ˈroʊvɪŋz,A Little Life,Hanya Yanagihara
mantis’s,螳螂的,mantis’s*,A Little Life,Hanya Yanagihara
namesake,同名,ˈneɪmˌseɪk,A Gentleman&#39;s Position (Society of Gentlemen),"Charles, K.J."
crowed about,喧闹,kroʊd əˈbaʊt,A Gentleman&#39;s Position (Society of Gentlemen),"Charles, K.J."
plaintive,哀怨,ˈpleɪnɪv,A Fashionable Indulgence: A Society of Gentlemen Novel (Society of Gentlemen Series Book 1),KJ Charles
persimmon,柿子,persimmon*,A Little Life,Hanya Yanagihara
foal,驹,foʊl,A Little Life,Hanya Yanagihara
nirvana,必杀技,nɪrˈvɑnə,A Little Life,Hanya Yanagihara
naïfs,幼稚的,naïfs*,A Little Life,Hanya Yanagihara
cilantro,香菜,sɪˈlænˌtroʊ,A Little Life,Hanya Yanagihara
hubris,狂妄自大,ˈhjubrəs,A Little Life,Hanya Yanagihara
palsy,麻痹,ˈpɔlzi,A Little Life,Hanya Yanagihara
ashram,道场,ashram*,A Little Life,Hanya Yanagihara
chiropractor,脊椎按摩师,ˈkaɪrəˌpræktər,A Little Life,Hanya Yanagihara
fulcrum,支持,ˈfʊlkrəm,A Little Life,Hanya Yanagihara
lemurlike,像狐猴的,lemurlike*,A Little Life,Hanya Yanagihara
offal,内脏,offal*,A Little Life,Hanya Yanagihara
coccyx,尾骨,coccyx*,A Little Life,Hanya Yanagihara
bylaws,按照法律规定,ˈbaɪˌlɔz,A Little Life,Hanya Yanagihara
dirigibles,飞艇,dirigibles*,A Little Life,Hanya Yanagihara
gloppy,糊涂的,ˈglɑpi,A Little Life,Hanya Yanagihara
internist,内科医生,ˌɪnˈtərnɪst,A Little Life,Hanya Yanagihara
bolognese,肉酱面,boʊloʊˈŋɛzi,A Little Life,Hanya Yanagihara
eczema,湿疹,ˈɛksəmə,A Little Life,Hanya Yanagihara
simulacrum,模拟物,simulacrum*,A Little Life,Hanya Yanagihara
seething,沸腾的,ˈsiðɪŋ,A Little Life,Hanya Yanagihara
manhole covers,井盖,ˈmænˌhoʊl ˈkəvərz,A Little Life,Hanya Yanagihara
appellate,上诉,əˈpɛˌleɪt,A Little Life,Hanya Yanagihara
escarole,蜗牛,escarole*,A Little Life,Hanya Yanagihara
autism,自闭症,ˈɔˌtɪzəm,A Little Life,Hanya Yanagihara
white-shoe,白鞋,white-shoe*,A Little Life,Hanya Yanagihara
hibachi,木炭火盆,hiˈbɑˌʧi,A Little Life,Hanya Yanagihara
fiduciary,受托人,fəˈduʃiˌɛri,A Little Life,Hanya Yanagihara
sclerosis,硬化,sklərˈoʊsəs,A Little Life,Hanya Yanagihara
revue,评论,rɪvˈju,A Little Life,Hanya Yanagihara
salvos,已保存,ˈsælvoʊz,A Little Life,Hanya Yanagihara
recalibrate,重新校准,recalibrate*,A Little Life,Hanya Yanagihara
typecast,类型转换,ˈtaɪpˌkæst,A Little Life,Hanya Yanagihara
swaddled,襁褓,swaddled*,A Little Life,Hanya Yanagihara
thyme,百里香,θaɪm,A Little Life,Hanya Yanagihara
Stasi,斯塔西,ˈstɑsi,A Little Life,Hanya Yanagihara
partitas,组曲,partitas*,A Little Life,Hanya Yanagihara
uncharacteristically,一反常态,ˌənˌkɛrɪktərˈɪstɪkli,A Little Life,Hanya Yanagihara
pancreatic,胰,ˌpænkriˈætɪk,A Little Life,Hanya Yanagihara
bonhomie,和蔼可亲,bonhomie*,A Little Life,Hanya Yanagihara
ballpark,球场,ˈbɔlˌpɑrk,A Little Life,Hanya Yanagihara
ballast,镇流器,ˈbæləst,A Little Life,Hanya Yanagihara
plodding,单调乏味,ˈplɑdɪŋ,A Little Life,Hanya Yanagihara
hyenas,鬣狗,haɪˈinəz,A Little Life,Hanya Yanagihara
venereal,性病的,vəˈnɪriəl,A Little Life,Hanya Yanagihara
obfuscation,迷惑,ˌɑbfəˈskeɪʃən,A Little Life,Hanya Yanagihara
laudanum,鸦片酊,ˈlɔdənəm,A Lady for a Duke,Alexis Hall
Ram,内存,ræm,A Lady for a Duke,Alexis Hall
peonies,牡丹,ˈpiəniz,A Lady for a Duke,Alexis Hall
grapeshot,葡萄弹,ˈgreɪpˌʃɑt,A Lady for a Duke,Alexis Hall
dwelled upon,详述,dwɛld əˈpɑn,A Lady for a Duke,Alexis Hall
décolletage,脱衣舞,décolletage*,A Lady for a Duke,Alexis Hall
runnels,跑道,ˈrənəlz,A Lady for a Duke,Alexis Hall
mince,剁碎,mɪns,A Lady for a Duke,Alexis Hall
striations,条纹,striations*,A Lady for a Duke,Alexis Hall
phantasm,幻想,ˌfænˈtæzəm,A Lady for a Duke,Alexis Hall
choker,项圈,choker*,A Lady for a Duke,Alexis Hall
riding habit,骑行习惯,ˈraɪdɪŋ ˈhæbət,A Lady for a Duke,Alexis Hall
behest,遗嘱,bɪˈhɛst,A Lady for a Duke,Alexis Hall
gangrene,坏疽,ˈgængrin,A Lady for a Duke,Alexis Hall
topiary,修剪的,ˈtoʊpiˌɛri,A Lady for a Duke,Alexis Hall
enmeshed,纠缠,ɛnˈmɛʃt,A Lady for a Duke,Alexis Hall
demurely,端庄地,dɪmˈjʊrli,A Lady for a Duke,Alexis Hall
quail,鹌鹑,kweɪl,A Lady for a Duke,Alexis Hall
riven,裂开,ˈrɪvən,A Lady for a Duke,Alexis Hall
acquitted yourselves,无罪释放自己,əkˈwɪtɪd ˈjɔrsɛlvz,A Lady for a Duke,Alexis Hall
landlubbers,旱鸭子,landlubbers*,A Lady for a Duke,Alexis Hall
chemise,衬裙,ʃəˈmiz,A Lady for a Duke,Alexis Hall
agog,激动,əˈgɑg,A Private Miscellany,KJ Charles
Fritz,弗里茨,frɪts,A novel,Alice Winn
set much store by,重视,sɛt məʧ stɔr baɪ,A Lady for a Duke,Alexis Hall
Kaiser,凯撒,ˈkaɪzər,A novel,Alice Winn
bedsores,褥疮,bedsores*,A novel,Alice Winn
doddering,摇摇欲坠,ˈdɑdərɪŋ,A Lady for a Duke,Alexis Hall
behooves,理所当然,bɪˈhuvz,A Lady for a Duke,Alexis Hall
green,绿色的,grin,A Lady for a Duke,Alexis Hall
impervious,不透水的,ˌɪmˈpərviəs,A novel,Alice Winn
plangent,诱人的,plangent*,A Private Miscellany,KJ Charles
roll call,点名,roʊl kɔl,A novel,Alice Winn
told on,告诉,toʊld ɔn,A novel,Alice Winn
pantheon,万神殿,ˈpænθiˌɑn,A Private Miscellany,KJ Charles
likeness,相似度,ˈlaɪknəs,A Private Miscellany,KJ Charles
foisted,强迫的,ˈfɔɪstɪd,A Private Miscellany,KJ Charles
peerage,贵族,ˈpɪrəʤ,A Private Miscellany,KJ Charles
Memorandum,备忘录,ˌmɛmərˈændəm,A Private Miscellany,KJ Charles
screed,熨平板,skrid,A Private Miscellany,KJ Charles
BETHEL,伯特利,ˈbɛθəl,A Place Called Winter,Patrick Gale
mummery,哑剧,mummery*,A Private Miscellany,KJ Charles
osmosis,渗透作用,ˌɔzˈmoʊsɪs,A Place Called Winter,Patrick Gale
pews,长椅,pjuz,A Place Called Winter,Patrick Gale
notary,公证人,ˈnoʊtəri,A Place Called Winter,Patrick Gale
sangfroid,冷静的,sangfroid*,A Place Called Winter,Patrick Gale
nictated,叮咬的,nictated*,A Saucer of Loneliness,Theodore Sturgeon
vim,vim,vɪm,A Place Called Winter,Patrick Gale
veranda,阳台,vərˈændə,A Place Called Winter,Patrick Gale
carcass,尸体,ˈkɑrkəs,A Saucer of Loneliness,Theodore Sturgeon
integument,外皮,ˌɪnˈtɛgjəmənt,A Saucer of Loneliness,Theodore Sturgeon
cowl,整流罩,kaʊl,A Saucer of Loneliness,Theodore Sturgeon
perforce,强迫,pərˈfɔrs,A Seditious Affair: A Society of Gentlemen Novel (Society of Gentlemen Series Book 2),K.J. Charles
dun,逼债,dən,A Saucer of Loneliness,Theodore Sturgeon
sinew,腱子,sinew*,A Seditious Affair: A Society of Gentlemen Novel (Society of Gentlemen Series Book 2),K.J. Charles
synapse,突触,sɪæps,A Saucer of Loneliness,Theodore Sturgeon
harlot,妓女,ˈhɑrlət,A Seditious Affair: A Society of Gentlemen Novel (Society of Gentlemen Series Book 2),K.J. Charles
fairies,仙女,ˈfɛriz,A Saucer of Loneliness,Theodore Sturgeon
shekel’s,谢克尔的,shekel’s*,A Saucer of Loneliness,Theodore Sturgeon
burnoose,烧焦的,burnoose*,A Saucer of Loneliness,Theodore Sturgeon
bleating,咩咩叫,bleating*,A Seditious Affair: A Society of Gentlemen Novel (Society of Gentlemen Series Book 2),K.J. Charles
fleshpots,肉锅,fleshpots*,A Saucer of Loneliness,Theodore Sturgeon
cesspit,粪坑,cesspit*,A Seditious Affair: A Society of Gentlemen Novel (Society of Gentlemen Series Book 2),K.J. Charles
manacles,手铐,manacles*,A Seditious Affair: A Society of Gentlemen Novel (Society of Gentlemen Series Book 2),K.J. Charles
brothel,妓院,ˈbrɑθəl,A Seditious Affair: A Society of Gentlemen Novel (Society of Gentlemen Series Book 2),K.J. Charles
humanoids,类人生物,humanoids*,A Saucer of Loneliness,Theodore Sturgeon
hackney,哈克尼,ˈhækni,A Seditious Affair: A Society of Gentlemen Novel (Society of Gentlemen Series Book 2),K.J. Charles
dereliction of duty,失职,ˌdɛrəˈlɪkʃən əv ˈduti,A Seditious Affair: A Society of Gentlemen Novel (Society of Gentlemen Series Book 2),K.J. Charles
intaglio,凹版,ˌɪnˈtæljoʊ,A Seditious Affair: A Society of Gentlemen Novel (Society of Gentlemen Series Book 2),K.J. Charles
salt-and-pepper hair,盐和胡椒的头发,salt-and-pepper* hɛr,A Seditious Affair: A Society of Gentlemen Novel (Society of Gentlemen Series Book 2),K.J. Charles
aught,什么,ɔt,A Seditious Affair: A Society of Gentlemen Novel (Society of Gentlemen Series Book 2),K.J. Charles
pinioned,小齿轮,pinioned*,A Seditious Affair: A Society of Gentlemen Novel (Society of Gentlemen Series Book 2),K.J. Charles
etching,蚀刻,ˈɛʧɪŋ,A Seditious Affair: A Society of Gentlemen Novel (Society of Gentlemen Series Book 2),K.J. Charles
shiner,闪亮的,ˈʃaɪnər,A Seditious Affair: A Society of Gentlemen Novel (Society of Gentlemen Series Book 2),K.J. Charles
hub,中心,həb,A Seditious Affair: A Society of Gentlemen Novel (Society of Gentlemen Series Book 2),K.J. Charles
pourboire,提示,pourboire*,A Seditious Affair: A Society of Gentlemen Novel (Society of Gentlemen Series Book 2),K.J. Charles
harrumphed,发牢骚,harrumphed*,A Seditious Affair: A Society of Gentlemen Novel (Society of Gentlemen Series Book 2),K.J. Charles
firebrand,火把,ˈfaɪərˌbrænd,A Seditious Affair: A Society of Gentlemen Novel (Society of Gentlemen Series Book 2),K.J. Charles
reconnaissance,侦察,riˈkɑnəsəns,A Seditious Affair: A Society of Gentlemen Novel (Society of Gentlemen Series Book 2),K.J. Charles
press-ganging,压合,press-ganging*,A Seditious Affair: A Society of Gentlemen Novel (Society of Gentlemen Series Book 2),K.J. Charles
scullery,洗碗间,scullery*,A Seditious Affair: A Society of Gentlemen Novel (Society of Gentlemen Series Book 2),K.J. Charles
"scrawny, underfed",骨瘦如柴，营养不良,"ˈskrɔni, underfed*",A Seditious Affair: A Society of Gentlemen Novel (Society of Gentlemen Series Book 2),K.J. Charles
Yuletide,圣诞,ˈjulˌtaɪd,A Seditious Affair: A Society of Gentlemen Novel (Society of Gentlemen Series Book 2),K.J. Charles
lackey,走狗,ˈlæki,A Seditious Affair: A Society of Gentlemen Novel (Society of Gentlemen Series Book 2),K.J. Charles
despoiled,被宠坏的,despoiled*,A Seditious Affair: A Society of Gentlemen Novel (Society of Gentlemen Series Book 2),K.J. Charles
flagellation,鞭打,flagellation*,A Seditious Affair: A Society of Gentlemen Novel (Society of Gentlemen Series Book 2),K.J. Charles
pikes,长矛,paɪks,A Seditious Affair: A Society of Gentlemen Novel (Society of Gentlemen Series Book 2),K.J. Charles
shibboleth,陈词滥调,ˈʃɪbəˌlɛθ,A Seditious Affair: A Society of Gentlemen Novel (Society of Gentlemen Series Book 2),K.J. Charles
press-ganging,压合,press-ganging*,A Seditious Affair: A Society of Gentlemen Novel (Society of Gentlemen Series Book 2),K.J. Charles
Usurer,高利贷者,usurer*,A Seditious Affair: A Society of Gentlemen Novel (Society of Gentlemen Series Book 2),K.J. Charles
perforce,强迫,pərˈfɔrs,A Seditious Affair: A Society of Gentlemen Novel (Society of Gentlemen Series Book 2),K.J. Charles
poltroon,胆小鬼,poltroon*,A Seditious Affair: A Society of Gentlemen Novel (Society of Gentlemen Series Book 2),K.J. Charles
claptrap,哗众取宠,claptrap*,A Seditious Affair: A Society of Gentlemen Novel (Society of Gentlemen Series Book 2),K.J. Charles
hamstrings,腿筋,ˈhæmˌstrɪŋz,A Seditious Affair: A Society of Gentlemen Novel (Society of Gentlemen Series Book 2),K.J. Charles
