vocabulary,meaning,IPA,book,author
singular,"1. Separate or apart from others; single; distinct. [Obs.] Bacon. And God forbid that all a company Should rue a singular man's folly. Chaucer. 2. Engaged in by only one on a side; single. [Obs.] To try the matter thus together in a singular combat. Holinshed. 3. (Logic)  Existing by itself; single; individual. The idea which represents one . . . determinate thing, is called a singular idea, whether simple, complex, or compound. I. Watts. 4. (Law)  Each; individual; as, to convey several parcels of land, all and singular. 5. (Gram.)  Denoting one person or thing; as, the singular number; -- opposed to dual and Ant: plural. 6. Standing by itself; out of the ordinary course; unusual; uncommon; strange; as, a singular phenomenon. So singular a sadness Must have a cause as strange as the effect. Denham. 7. Distinguished as existing in a very high degree; rarely equaled; eminent; extraordinary; exceptional; as, a man of singular gravity or attainments. 8. Departing from general usage or expectations; odd; whimsical; -- often implying disapproval or consure. His zeal None seconded, as out of season judged, Or singular and rash. Milton. To be singular in anything that is wise and worthy, is not a disparagement, but a praise. Tillotson. 9. Being alone; belonging to, or being, that of which there is but one; unique. These busts of the emperors and empresses are all very scarce, and some of them almost singular in their kind. Addison. Singular point in a curve (Math.), a point at which the curve possesses some peculiar properties not possessed by other points of the curve, as a cusp point, or a multiple point. -- Singular proposition (Logic), a proposition having as its subject a singular term, or a common term limited to an individual by means of a singular sign. Whately. -- Singular succession (Civil Law), division among individual successors, as distinguished from universal succession, by which an estate descended in intestacy to the heirs in mass. -- Singular term (Logic), a term which represents or stands for a single individual. Syn. -- Unexampled; unprecedented; eminent; extraordinary; remarkable; uncommon; rare; unusual; peculiar; strange; odd; eccentric; fantastic.

1. An individual instance; a particular. [Obs.] Dr. H. More. 2. (Gram)  The singular number, or the number denoting one person or thing; a word in the singular number.",ˈsɪŋgjələr,A Fashionable Indulgence: A Society of Gentlemen Novel (Society of Gentlemen Series Book 1),KJ Charles
grit,"1. Sand or gravel; rough, hard particles. 2. The coarse part of meal. 3. pl.  Grain, esp. oats or wheat, hulled and coarsely ground; in high milling, fragments of cracked wheat smaller than groats. 4. (Geol.)  A hard, coarse-grained siliceous sandstone; as, millstone grit; -- called also gritrock and gritstone. The name is also applied to a finer sharp-grained sandstone; as, grindstone grit. 5. Structure, as adapted to grind or sharpen; as, a hone of good grit. 6. Firmness of mind; invincible spirit; unyielding courage; fortitude. C. Reade. E. P. Whipple.

To give forth a grating sound, as sand under the feet; to grate; to grind. The sanded floor that grits beneath the tread. Goldsmith.

To grind; to rub harshly together; to grate; as, to grit the teeth. [Collog.]",grɪt,A Fashionable Indulgence: A Society of Gentlemen Novel (Society of Gentlemen Series Book 1),KJ Charles
Jacobin,雅各宾派,ˈʤækəbɪn,A Fashionable Indulgence: A Society of Gentlemen Novel (Society of Gentlemen Series Book 1),KJ Charles
diorama,"1. A mode of scenic representation, invented by Daguerre and Bouton, in which a painting is seen from a distance through a large opening. By a combination of transparent and opaque painting, and of transmitted and reflected light, and by contrivances such as screens and shutters, much diversity of scenic effect is produced. 2. A building used for such an exhibition.",diorama*,A Little Life,Hanya Yanagihara
with,"See Withe.

With denotes or expresses some situation or relation of nearness, proximity, association, connection, or the like. It is used especially: -- 1. To denote a close or direct relation of opposition or hostility; - - equivalent to against. Thy servant will . . . fight with this Philistine. 1 Sam. xvii. 32. Note: In this sense, common in Old English, it is now obsolete except in a few compounds; as, withhold; withstand; and after the verbs fight, contend, struggle, and the like. 2. To denote association in respect of situation or environment; hence, among; in the company of. I will buy with you, talk with you, walk with you, and so following; but I will not eat with you, drink with you, nor pray with you. Shak. Pity your own, or pity our estate, Nor twist our fortunes with your sinking fate. Dryden. See where on earth the flowery glories lie; With her they flourished, and with her they die. Pope. There is no living with thee nor without thee. Tatler. Such arguments had invincible force with those pagan philosophers. Addison. 3. To denote a connection of friendship, support, alliance, assistance, countenance, etc.; hence, on the side of. Fear not, for I am with thee, and will bless thee. Gen. xxvi. 24. 4. To denote the accomplishment of cause, means, instrument, etc; -- sometimes equivalent to by. That with these fowls I be all to-rent. Chaucer. Thou wilt be like a lover presently, And tire the hearer with a book of words. Shak. [He] entertained a coffeehouse with the following narrative. Addison. With receiving your friends within and amusing them without, you lead a good, pleasant, bustling life of it. Goldsmith. 5. To denote association in thought, as for comparison or contrast. Can blazing carbuncles with her compare. Sandys. 6. To denote simultaneous happening, or immediate succession or consequence. With that she told me . . . that she would hide no truth from me. Sir P. Sidney. With her they flourished, and with her they die. Pope. With this he pointed to his face. Dryden. 7. To denote having as a possession or an appendage; as, the firmament with its stars; a bride with a large fortune. ""A maid with clean hands."" Shak. Note: With and by are closely allied in many of their uses, and it is not easy to lay down a rule by which to distinguish their uses. See the Note under By.",wɪθ,A Gentleman&#39;s Position (Society of Gentlemen),"Charles, K.J."
hussar,"Originally, one of the national cavalry of Hungary and Croatia; now, one of the light cavalry of European armies.",ˈhəsər,A Gentleman&#39;s Position (Society of Gentlemen),"Charles, K.J."
bawdy,"1. Dirty; foul; -- said of clothes. [Obs.] It [a garment] is al bawdy and to-tore also. Chaucer. 2. Obscene; filthy; unchaste. ""A bawdy story."" Burke.",ˈbɔdi,A Gentleman&#39;s Position (Society of Gentlemen),"Charles, K.J."
clique,"A narrow circle of persons associated by common interests or for the accomplishment of a common purpose; -- generally used in a bad sense.

To To associate together in a clannish way; to act with others secretly to gain a desired end; to plot; -- used with together.",klik,A Gentleman&#39;s Position (Society of Gentlemen),"Charles, K.J."
fop,One whose ambition it is to gain admiration by showy dress; a coxcomb; an inferior dandy.,ˈɛˈfoʊˈpi,A Fashionable Indulgence: A Society of Gentlemen Novel (Society of Gentlemen Series Book 1),KJ Charles
majordomo,管家,ˌmeɪʤərˈdoʊmoʊ,A Gentleman&#39;s Position (Society of Gentlemen),"Charles, K.J."
cadet,"1. The younger of two brothers; a younger brother or son; the youngest son. The cadet of an ancient and noble family. Wood. 2. (Mil.) (a) A gentleman who carries arms in a regiment, as a volunteer, with a view of acquiring military skill and obtaining a commission. (b) A young man in training for military or naval service; esp. a pupil in a military or naval school, as at West Point, Annapolis, or Woolwich. Note: All the undergraduates at Annapolis are Naval cadets. The distinction between Cadet midshipmen and Cadet engineers was abolished by Act of Congress in 1882.",kəˈdɛt,A Fashionable Indulgence: A Society of Gentlemen Novel (Society of Gentlemen Series Book 1),KJ Charles
ignominy,"1. Public disgrace or dishonor; reproach; infamy. Their generals have been received with honor after their defeat; yours with ignominy after conquest. Addison. Vice begins in mistake, and ends in ignominy. Rambler. Ignominy is the infliction of such evil as is made dishonorable, or the deprivation of such good as is made honorable by the Common wealth. Hobbes. 2. An act deserving disgrace; an infamous act. Syn. -- Opprobrium; reproach; dishonor.",ˈɪgnoʊˌmɪni,A Fashionable Indulgence: A Society of Gentlemen Novel (Society of Gentlemen Series Book 1),KJ Charles
brocaded,"1. Woven or worked, as brocade, with gold and silver, or with raised flowers, etc. Brocaded flowers o'er the gay mantua shine. Gay. 2. Dressed in brocade.",brocaded*,A Little Life,Hanya Yanagihara
pillory,"A frame of adjustable boards erected on a post, and having holes through which the head and hands of an offender were thrust so as to be exposed in front of it. Shak.

1. To set in, or punish with, the pillory. ""Hungering for Puritans to pillory."" Macaulay. 2. Figuratively, to expose to public scorn. Gladstone.",ˈpɪləri,A Fashionable Indulgence: A Society of Gentlemen Novel (Society of Gentlemen Series Book 1),KJ Charles
risqué,有风险的,risqué*é,A Fashionable Indulgence: A Society of Gentlemen Novel (Society of Gentlemen Series Book 1),KJ Charles
gainsay,"To contradict; to deny; to controvert; to dispute; to forbid. I will give you a mouth and wisdom which all your adversaries shall not be able to gainsay nor resist. Luke xxi. 15. The just gods gainsay That any drop thou borrow'dst from thy mother, My sacred aunt, should by my mortal sword Be drained. Shak.",ˈgeɪnˌseɪ,A Fashionable Indulgence: A Society of Gentlemen Novel (Society of Gentlemen Series Book 1),KJ Charles
grizzled,Gray; grayish; sprinkled or mixed with gray; of a mixed white and black. Grizzled hair flowing in elf locks. Sir W. Scott.,ˈgrɪzəld,A Fashionable Indulgence: A Society of Gentlemen Novel (Society of Gentlemen Series Book 1),KJ Charles
onus,"A burden; an obligation. Onus probandi ( Etym: [L.], obligation to furnish evidence to prove a thing; the burden of proof.",ˈoʊnəs,A Gentleman&#39;s Position (Society of Gentlemen),"Charles, K.J."
mésalliance,错配,mésalliance*,A Fashionable Indulgence: A Society of Gentlemen Novel (Society of Gentlemen Series Book 1),KJ Charles
lackadaisical,"Affectedly pensive; languidly sentimental. -- Lack`a*dai""si*cal*ly, adv.",ˌlækəˈdeɪzɪkəl,A Gentleman&#39;s Position (Society of Gentlemen),"Charles, K.J."
fob,"A little pocket for a watch. Fob chain, a short watch chain worn a watch carried in the fob.

1. To beat; to maul. [Obs.] 2. To cheat; to trick; to impose on. Shak. To fob off, to shift off by an artifice; to put aside; to delude with a trick.""A conspiracy of bishops could prostrate and fob off the right of the people."" Milton.",fobs*,A Gentleman&#39;s Position (Society of Gentlemen),"Charles, K.J."
gelding,"A castrated animal; -- usually applied to a horse, but formerly used also of the human male. They went down both into the water, Philip and the gelding, and Philip baptized him. Wyclif (Acts viii. 38).

from Geld, v. t.",gelding*,A Gentleman&#39;s Position (Society of Gentlemen),"Charles, K.J."
namesake,"One that has the same name as another; especially, one called after, or named out of regard to, another.",ˈneɪmˌseɪk,A Fashionable Indulgence: A Society of Gentlemen Novel (Society of Gentlemen Series Book 1),KJ Charles
octavo,"A book composed of sheets each of which is folded into eight leaves; hence, indicating more or less definitely a size of book so made; -- usually written 8vo or 8º.

Having eight leaves to a sheet; as, an octavo form, book, leaf, size, etc.",octavo*,A Fashionable Indulgence: A Society of Gentlemen Novel (Society of Gentlemen Series Book 1),KJ Charles
trinket,"A three-cornered sail formerly carried on a ship's foremast, probably on a lateen yard. Sailing always with the sheets of mainsail and trinket warily in our hands. Hakluyt.

1. A knife; a cutting tool. Tusser. 2. A small ornament, as a jewel, ring, or the like. 3. A thing of little value; a trifle; a toy.

To give trinkets; hence, to court favor; to intrigue. [Obs.] South.",ˈtrɪŋkəts,A Gentleman&#39;s Position (Society of Gentlemen),"Charles, K.J."
a skinful of,一皮,ə skinful* əv,A Fashionable Indulgence: A Society of Gentlemen Novel (Society of Gentlemen Series Book 1),KJ Charles
quail,"1. To die; to perish; hence, to wither; to fade. [Obs.] Spenser. 2. To become quelled; to become cast down; to sink under trial or apprehension of danger; to lose the spirit and power of resistance; to lose heart; to give way; to shrink; to cower. The atheist power shall quail, and confess his fears. I. Taylor. Stouter hearts than a woman's have quailed in this terrible winter. Longfellow. Syn. -- to cower; flinch; shrink; quake; tremble; blench; succumb; yield.

To cause to fail in spirit or power; to quell; to crush; to subdue. [Obs.] Spenser.

To curdle; to coagulate, as milk. [Obs.] Holland.

1. (Zoöl.)  Any gallinaceous bird belonging to Coturnix and several allied genera of the Old World, especially the common European quail (C. communis), the rain quail (C. Coromandelica) of India, the stubble quail (C. pectoralis), and the Australian swamp quail (Synoicus australis). 2. (Zoöl.)  Any one of several American partridges belonging to Colinus, Callipepla, and allied genera, especially the bobwhite (called Virginia quail, and Maryland quail), and the California quail (Calipepla Californica). 3. (Zoöl.)  Any one of numerous species of Turnix and allied genera, native of the Old World, as the Australian painted quail (Turnix varius). See Turnix. 4. A prostitute; -- so called because the quail was thought to be a very amorous bird.[Obs.] Shak. Bustard quail (Zoöl.), a small Asiatic quail-like bird of the genus Turnix, as T. taigoor, a black-breasted species, and the hill bustard quail (T. ocellatus). See Turnix. -- Button quail (Zoöl.), one of several small Asiatic species of Turnix, as T. Sykesii, which is said to be the smallest game bird of India. -- Mountain quail. See under Mountain. -- Quail call, a call or pipe for alluring quails into a net or within range. -- Quail dove (Zoöl.), any one of several American ground pigeons belonging to Geotrygon and allied genera. -- Quail hawk (Zoöl.), the New Zealand sparrow hawk (Hieracidea Novæ-Hollandiæ). -- Quail pipe. See Quail call, above. -- Quail snipe (Zoöl.), the dowitcher, or red-breasted snipe; -- called also robin snipe, and brown snipe. -- Sea quail (Zoöl.), the turnstone. [Local, U. S.]",kweɪl,A Fashionable Indulgence: A Society of Gentlemen Novel (Society of Gentlemen Series Book 1),KJ Charles
muzzled,捂着嘴,ˈməzəld,A Fashionable Indulgence: A Society of Gentlemen Novel (Society of Gentlemen Series Book 1),KJ Charles
precept,"1. Any commandment, instruction, or order intended as an authoritative rule of action; esp., a command respecting moral conduct; an injunction; a rule. For precept must be upon precept. Isa. xxviii. 10. No arts are without their precepts. Dryden. 2. (Law)  A command in writing; a species of writ or process. Burrill. Syn. -- Commandment; injunction; mandate; law; rule; direction; principle; maxim. See Doctrine.

To teach by precepts. [Obs.] Bacon.",ˈpriˌsɛpts,A Fashionable Indulgence: A Society of Gentlemen Novel (Society of Gentlemen Series Book 1),KJ Charles
ulcerating,溃烂的,ulcerating*,A Gentleman&#39;s Position (Society of Gentlemen),"Charles, K.J."
polemic,"1. Of or pertaining to controversy; maintaining, or involving, controversy; controversial; disputative; as, a polemic discourse or essay; polemic theology. 2. Engaged in, or addicted to, polemics, or to controversy; disputations; as, a polemic writer. South.

1. One who writes in support of one opinion, doctrine, or system, in opposition to another; one skilled in polemics; a controversialist; a disputant. The sarcasms and invectives of the young polemic. Macaulay. 2. A polemic argument or controversy.",poʊˈlɛmɪks,A Fashionable Indulgence: A Society of Gentlemen Novel (Society of Gentlemen Series Book 1),KJ Charles
pantaloon,"1. Aridiculous character, or an old dotard, in the Italian comedy; also, a buffoon in pantomimes. Addison. The sixth age shifts Into the lean and slippered pantaloon. Shak. 2. pl.  A bifurcated garment for a man, covering the body from the waist downwards, and consisting of breeches and stockings in one. 3. pl.  In recent times, same as Trousers.",ˈpæntəˌlunz,A Fashionable Indulgence: A Society of Gentlemen Novel (Society of Gentlemen Series Book 1),KJ Charles
queans,昆斯,queans*,A Fashionable Indulgence: A Society of Gentlemen Novel (Society of Gentlemen Series Book 1),KJ Charles
guffaw,"A loud burst of laughter, a horse laugh. ""A hearty low guffaw."" Carlyle.",gəˈfɔ,A Fashionable Indulgence: A Society of Gentlemen Novel (Society of Gentlemen Series Book 1),KJ Charles
tally,"1. Originally, a piece of wood on which notches or scores were cut, as the marks of number; later, one of two books, sheets of paper, etc., on which corresponding accounts were kept. Note: In purshasing and selling, it was once customary for traders to have two sticks, or one stick cleft into two parts, and to mark with a score or notch, on each, the number or quantity of goods delivered, -- the seller keeping one stick, and the purchaser the other. Before the use of writing, this, or something like it, was the only method of keeping accounts; and tallies were received as evidence in courts of justice. In the English exchequer were tallies of loans, one part being kept in the exchequer, the other being given to the creditor in lieu of an obligation for money lent to government. 2. Hence, any account or score kept by notches or marks, whether on wood or paper, or in a book; especially, one kept in duplicate. 3. One thing made to suit another; a match; a mate. They were framed the tallies for each other. Dryden. 4. A notch, mark, or score made on or in a tally; as, to make or earn a tally in a game. 5. A tally shop. See Tally shop, below. Tally shop, a shop at which goods or articles are sold to customers on account, the account being kept in corresponding books, one called the tally, kept by the buyer, the other the counter tally, kept by the seller, and the payments being made weekly or otherwise by agreement. The trade thus regulated is called tally trade. Eng. Encyc. -- To strike tallies, to act in correspondence, or alike. [Obs.] Fuller.

1. To score with correspondent notches; hence, to make to correspond; to cause to fit or suit. They are not so well tallied to the present juncture. Pope. 2. (Naut.)  To check off, as parcels of freight going inboard or outboard. W. C. Russell. Tally on (Naut.), to dovetail together.

1. To be fitted; to suit; to correspond; to match. I found pieces of tiles that exactly tallied with the channel. Addison. Your idea . . . tallies exactly with mine. Walpole. 2. To make a tally; to score; as, to tally in a game. Tally on (Naut.), to man a rope for hauling, the men standing in a line or tail.

Stoutly; with spirit. [Obs.] Beau. & Fl.",ˈtæli,A Gentleman&#39;s Position (Society of Gentlemen),"Charles, K.J."
chimera,"1. (Myth.)  A monster represented as vomiting flames, and as having the head of a lion, the body of a goat, and the tail of a dragon. ""Dire chimeras and enchanted isles."" Milton. 2. A vain, foolish, or incongruous fancy, or creature of the imagination; as, the chimera of an author. Burke.",ʧɪˈmɛrə,A Gentleman&#39;s Position (Society of Gentlemen),"Charles, K.J."
winkle him out,把他赶出去,ˈwɪŋkəl ɪm aʊt,A Fashionable Indulgence: A Society of Gentlemen Novel (Society of Gentlemen Series Book 1),KJ Charles
accoutrement,起床,əˈkutərmənts,A Fashionable Indulgence: A Society of Gentlemen Novel (Society of Gentlemen Series Book 1),KJ Charles
tic,"A local and habitual convulsive motion of certain muscles; especially, such a motion of some of the muscles of the face; twitching; velication; -- called also spasmodic tic. Dunglison. Tic douloureux (. Etym: [F., fr. tic a knack, a twitching + douloureux painful.] (Med.) Neuralgia in the face; face ague. See under Face.",tɪk,A Little Life,Hanya Yanagihara
soused,邻居,soused*,A Fashionable Indulgence: A Society of Gentlemen Novel (Society of Gentlemen Series Book 1),KJ Charles
